CACode,VaCode,Estimate,ASE,Flag
C02D,V47E,8.4,4.8,**
C02D,V47F,18.5,6.7,*
C02D,V47G,10,5.2,**
C02D,V47H,4.4,3.1,**
C02D,V47I,12,7.5,**
C03A,V00T,16.8,0,B
C03A,V01A,41,3.6,
C03A,V01B,47.7,4,
C03A,V01C,6.1,1.8,
C03A,V01D,5.2,1.9,*
C03A,V02A,5.8,2.1,*
C03A,V02B,10.4,2.5,
C03A,V02C,79,3.6,
C03A,V02D,3.3,1.4,*
C03A,V02E,1.6,0.8,*
C03A,V03A,44.7,4.5,
C03A,V03B,44.8,4.3,
C03A,V03C,7.2,1.8,
C03A,V03D,3.2,1.2,*
C03A,V04A,11.6,2.8,
C03A,V04B,7.8,2.4,*
C03A,V04C,20.3,3.1,
C03A,V04D,12.9,2.9,
C03A,V04E,15.4,2.9,
C03A,V04F,13.5,2.6,
C03A,V04G,5.9,1.8,*
C03A,V04H,12.7,2.6,
C03A,V04M,6.3,0.2,
C03A,V05A,22.9,3.3,
C03A,V05B,29,3.7,
C03A,V05C,41,4.1,
C03A,V05D,7.1,2,
C03A,V06A,4,1.4,*
C03A,V06B,32.6,3.6,
C03A,V06C,63.4,3.9,
C03A,V07A,37.3,3.9,
C03A,V07B,62.7,3.9,
C03A,V08A,15.9,4.7,
C03A,V08B,29.9,6.8,
C03A,V08C,54.2,7,
C03A,V09A,32.2,3.9,
C03A,V09B,51.6,4.2,
C03A,V09C,12.5,2.4,
C03A,V09D,3.7,1.5,*
C03A,V10A,58.6,14.4,
C03A,V11A,26.5,13.4,**
C03A,V12A,48.1,16.8,*
C03A,V13A,18.5,9.3,**
C03A,V14A,49.9,12.4,
C03A,V15A,25.3,12.7,**
C03A,V16A,16.2,8.9,**
C03A,V17A,81,3.2,
C03A,V17B,12.1,2.4,
C03A,V17C,3.8,1.5,*
C03A,V17D,3,1.5,*
C03A,V18A,69.6,4.1,
C03A,V18B,19.1,3.2,
C03A,V18C,4.6,1.6,*
C03A,V18D,4.2,1.7,*
C03A,V18E,2.5,1.2,*
C03A,V19A,3.7,1.8,*
C03A,V19B,13.9,2.5,
C03A,V19C,12.2,2.8,
C03A,V19D,70.2,3.7,
C03A,V20A,29.7,7.8,
C03A,V21A,35.3,8.5,
C03A,V22A,11.1,6.2,**
C03A,V23A,32,9,
C03A,V24A,36.3,5.2,
C03A,V24B,18,3.4,
C03A,V24C,5.6,1.9,*
C03A,V24D,4.5,2.1,*
C03A,V24E,29.7,5.2,
C03A,V24F,5.8,2.2,*
C03A,V25A,37.4,3.6,
C03A,V25B,33,3.4,
C03A,V25C,14.3,2.7,
C03A,V25D,6.3,2.1,*
C03A,V25E,9,2.8,*
C03A,V26A,52.1,7.5,
C03A,V27A,34.8,7.1,
C03A,V28A,27.3,6.5,
C03A,V29A,18.4,6.9,*
C03A,V29B,65.4,7.9,
C03A,V29C,2.8,2.1,**
C03A,V29D,6.9,3.8,**
C03A,V29E,6.5,3.5,**
C03A,V30A,12.9,2.4,
C03A,V30B,11.5,2.4,
C03A,V30C,18.7,3,
C03A,V30D,15,2.7,
C03A,V30E,41.9,3.9,
C03A,V31A,45.9,4.7,
C03A,V32A,23.4,4,
C03A,V33A,6,1.9,*
C03A,V34A,17.5,3.9,
C03A,V35A,14.8,3,
C03A,V36A,6.8,2.3,*
C03A,V37A,25.1,5.8,
C03A,V37B,17.3,5.6,*
C03A,V37C,13.3,4.6,*
C03A,V37D,9.3,3.7,*
C03A,V37E,32.5,6.9,
C03A,V37F,2.5,2.2,**
C03A,V38A,37.1,9,
C03A,V39A,21.7,8.1,*
C03A,V40A,15.7,7.9,*
C03A,V41A,12.6,6.4,**
C03A,V42A,20.2,6.6,*
C03A,V43A,7.9,4.3,**
C03A,V44A,27.4,3.6,
C03A,V44B,18,2.7,
C03A,V44C,9.9,2.5,
C03A,V44D,15,2.9,
C03A,V44E,29.8,3.6,
C03A,V45A,34.2,5,
C03A,V45B,21.2,4,
C03A,V45C,13.9,3.1,
C03A,V45D,11.9,3.2,
C03A,V45E,18.8,3.9,
C03A,V46A,26.9,8.7,*
C03A,V46B,27.4,8.5,*
C03A,V46C,6.5,5.3,**
C03A,V46D,16.4,7.6,*
C03A,V46E,22.7,8.6,*
C03A,V47A,20,5,
C03A,V47B,10.1,2.9,
C03A,V47C,13.1,4.1,*
C03A,V47D,14.7,4.7,*
C03A,V47E,12.8,4.3,*
C03A,V47F,8.8,3.4,*
C03A,V47G,5.6,3.5,**
C03A,V47H,4.5,1.8,*
C03A,V47I,10.4,3.6,*
C03B,V00T,18.3,0,B
C03B,V01A,37.4,3.2,
C03B,V01B,48.5,3.3,
C03B,V01C,9.7,1.9,
C03B,V01D,4.4,1.3,*
C03B,V02A,5,1.8,*
C03B,V02B,13.5,2.7,
C03B,V02C,77.3,3.9,
C03B,V02D,2.6,1.1,*
C03B,V02E,1.5,1,**
C03B,V03A,50,3.7,
C03B,V03B,41.6,3.4,
C03B,V03C,5.5,1.4,
C03B,V03D,3,1.4,*
C03B,V04A,11.5,2.2,
C03B,V04B,7.1,1.8,
C03B,V04C,21.5,3.2,
C03B,V04D,11.9,1.8,
C03B,V04E,18.2,2.6,
C03B,V04F,13.2,2.2,
C03B,V04G,5,1.4,
C03B,V04H,11.6,2.6,
C03B,V04M,6.3,0.2,
C03B,V05A,26.4,2.9,
C03B,V05B,30.4,3.1,
C03B,V05C,35.7,3.4,
C03B,V05D,7.5,1.5,
C03B,V06A,5.3,1.3,
C03B,V06B,37.3,3.5,
C03B,V06C,57.4,3.5,
C03B,V07A,41.2,3.4,
C03B,V07B,58.8,3.4,
C03B,V08A,18.5,3.9,
C03B,V08B,26.3,3.9,
C03B,V08C,55.2,4.6,
C03B,V09A,26.5,3.1,
C03B,V09B,52.8,3.5,
C03B,V09C,17.1,2.3,
C03B,V09D,3.6,1,
C03B,V10A,57.4,10.3,
C03B,V11A,24.2,10.3,*
C03B,V12A,34.6,10.1,
C03B,V13A,19.9,7.7,*
C03B,V14A,58.7,8.7,
C03B,V15A,16.2,6.7,*
C03B,V16A,15.1,5.4,*
C03B,V17A,84,3,
C03B,V17B,12.1,2.8,
C03B,V17C,1.8,0.8,*
C03B,V17D,2.1,0.8,*
C03B,V18A,71.3,3.3,
