CACode,VaCode,Estimate,ASE,Flag
C03B,V09D,0.8,0.5,**
C03B,V10A,84,19.5,
C03B,V11A,22.3,23.8,***
C03B,V12A,38.8,3.4,
C03B,V12B,30.6,2.9,
C03B,V12C,9.7,1.8,
C03B,V12D,20.8,3.4,
C03B,V13A,39.3,9,
C03B,V14A,24.5,8.8,*
C03B,V15A,36.3,8,
C03B,V16A,12.7,6.7,**
C03B,V17A,42.7,3.4,
C03B,V17B,57.3,3.4,
C03B,V18A,8.5,2.7,*
C03B,V18B,50.5,4.8,
C03B,V18C,23.3,4,
C03B,V18D,7.3,2.3,*
C03B,V18E,4.4,1.6,*
C03B,V18F,5.9,2.3,*
C03B,V19A,66.7,3.7,
C03B,V19B,33.3,3.7,
C03B,V20A,30.1,3.6,
C03B,V20B,9.8,2.1,
C03B,V20C,5.4,1.9,*
C03B,V20D,21.3,3.3,
C03B,V20E,3.2,1.6,*
C03B,V20F,21.9,3.6,
C03B,V20G,8.4,2.2,
C03B,V21A,72.2,3,
C03B,V21B,27.8,3,
C03B,V22A,11,2.3,
C03B,V22B,7.4,2.1,
C03B,V22C,44.3,3.8,
C03B,V22D,5.2,1.8,*
C03B,V22E,6.8,2.3,*
C03B,V22F,3.2,1.7,**
C03B,V22G,16.5,2.7,
C03B,V22H,5.6,1.6,
C03B,V23A,65.5,3.3,
C03B,V23B,34.5,3.3,
C03B,V24A,13.4,3.1,
C03B,V24B,30.3,3.9,
C03B,V24C,12.6,3,
C03B,V24D,12.4,2.9,
C03B,V24E,15,2.7,
C03B,V24F,16.2,2.8,
C03B,V25A,68.9,3.5,
C03B,V25B,31.1,3.5,
C03B,V26A,6.1,1.9,*
C03B,V26B,7.2,2.7,*
C03B,V26C,28.9,3.2,
C03B,V26D,15.3,2.6,
C03B,V26E,26.9,2.9,
C03B,V26F,15.7,3.1,
C03B,V27A,17.4,2.9,
C03B,V27B,82.6,2.9,
C03B,V28A,46.8,3.2,
C03B,V29A,94.6,1.4,
C03B,V30A,84.5,2.4,
C03C,V00T,15.1,0,B
C03C,V01A,9.2,1.9,
C03C,V01B,14.1,2.1,
C03C,V01C,11.2,2,
C03C,V01D,18.8,2.7,
C03C,V01E,24.2,2.9,
C03C,V01F,11.1,2,
C03C,V01G,11.4,2.3,
C03C,V01M,7,0.1,
C03C,V02A,30,2.8,
C03C,V02B,16.2,2.6,
C03C,V02C,10.6,1.8,
C03C,V02D,17.1,2.4,
C03C,V02E,12.4,2.3,
C03C,V02F,5.6,1.4,
C03C,V02G,8,1.8,
C03C,V02M,5.6,0.2,
C03C,V03A,60.9,3.4,
C03C,V03B,32,3.2,
C03C,V03C,5.2,1.8,*
C03C,V03D,1.8,0.8,*
C03C,V04F,64.3,22.9,*
C03C,V05A,48.3,26.3,**
C03C,V06A,49.6,3.1,
C03C,V06B,39,3.1,
C03C,V06C,7.2,1.8,
C03C,V06D,4.3,1.5,*
C03C,V07A,73.1,15.1,
C03C,V08A,46.7,14.5,*
C03C,V09A,68.5,3,
C03C,V09B,27.7,2.8,
C03C,V09C,3.1,1,*
C03C,V09D,0.8,0.6,**
C03C,V10A,65.7,39.2,**
C03C,V11A,48.6,43.5,**
C03C,V12A,37.8,3.7,
C03C,V12B,30,3.2,
C03C,V12C,10.6,2.4,
C03C,V12D,21.7,3.1,
C03C,V13A,38.9,7.4,
C03C,V14A,14.3,4.8,*
C03C,V15A,42.8,7.6,
C03C,V16A,12.8,4.8,*
C03C,V17A,45.9,3.6,
C03C,V17B,54.1,3.6,
C03C,V18A,4.9,1.9,*
C03C,V18B,51.3,4.3,
C03C,V18C,28.1,3.6,
C03C,V18D,5,1.9,*
C03C,V18E,4.2,1.9,*
C03C,V18F,6.5,2.4,*
C03C,V19A,70.4,3.5,
C03C,V19B,29.6,3.5,
C03C,V20A,28.9,3.5,
C03C,V20B,9.9,2.3,
C03C,V20C,4.8,1.5,*
C03C,V20D,21.8,3.1,
C03C,V20E,3,1.1,*
C03C,V20F,25.8,3.3,
C03C,V20G,5.9,1.8,*
C03C,V21A,78.6,2.9,
C03C,V21B,21.4,2.9,
C03C,V22A,7.5,1.9,
C03C,V22B,7.8,2.1,
C03C,V22C,52.6,3.5,
C03C,V22D,3.3,1.4,*
C03C,V22E,5.3,1.5,
C03C,V22F,2.5,1.2,*
C03C,V22G,17.1,2.8,
C03C,V22H,4,1.4,*
C03C,V23A,71.3,3,
C03C,V23B,28.7,3,
C03C,V24A,8.5,2.2,
C03C,V24B,36.8,4.4,
C03C,V24C,12,3.3,
C03C,V24D,11.1,2.5,
C03C,V24E,14.1,2.8,
C03C,V24F,17.5,3.1,
C03C,V25A,73,2.9,
C03C,V25B,27,2.9,
C03C,V26A,4.3,1.6,*
C03C,V26B,4.2,1.2,
C03C,V26C,28.2,3.4,
C03C,V26D,19.3,3.1,
C03C,V26E,26.1,3.3,
C03C,V26F,17.8,3.1,
C03C,V27A,22,2.6,
C03C,V27B,78,2.6,
C03C,V28A,48.7,3.3,
C03C,V29A,96.7,1.2,
C03C,V30A,87.7,2.3,
C03D,V00T,16.3,0,B
C03D,V01A,6.3,1.6,
C03D,V01B,13,2.2,
C03D,V01C,10.6,2.2,
C03D,V01D,20.7,2.6,
C03D,V01E,24.2,2.5,
C03D,V01F,13.1,2.2,
C03D,V01G,12.1,2.1,
C03D,V01M,7.3,0.1,
C03D,V02A,25.3,2.7,
C03D,V02B,16.9,2.6,
C03D,V02C,10.1,2,
C03D,V02D,15.2,2.3,
C03D,V02E,16.5,2.7,
C03D,V02F,5.4,1.4,
C03D,V02G,10.5,2,
C03D,V02M,6,0.2,
C03D,V03A,58.4,3,
C03D,V03B,33.7,2.7,
